233;Baixa resolução nos casos que entra nas delegacias (policia investigativa).;2021-04-12 11:47:50;;2021-04-12 11:47:50
234;Baixa sustentabilidade no desenvolvimento econômico devido à dilapidação do patrimônio natural.;2021-04-12 11:47:50;;2021-04-12 11:47:50
235;Baixa valorização da atividade de pesca artesanal.;2021-04-12 11:47:50;;2021-04-12 11:47:50
236;Baixa valorização dos profissionais da educação.;2021-04-12 11:47:50;;2021-04-12 11:47:50
237;Baixo apoio ao cooperativismo e associativismo.;2021-04-12 11:47:50;;2021-04-12 11:47:50
238;Baixo apoio do estado na construção de abatedouros nos municípios da região.;2021-04-12 11:47:50;;2021-04-12 11:47:50
239;Baixo apoio estadual na infraestrutura dos municípios na geração de empregos.;2021-04-12 11:47:50;;2021-04-12 11:47:50
240;Baixo apoio para o acesso aos recursos hídricos para produção e consumo.;2021-04-12 11:47:50;;2021-04-12 11:47:50
241;Baixo aproveitamento da água da chuva.;2021-04-12 11:47:50;;2021-04-12 11:47:50
242;Baixo aproveitamento de outras fontes de energia sustentável (eólica e solar).;2021-04-12 11:47:50;;2021-04-12 11:47:50
243;Baixo conhecimento da importância da segurança alimentar.;2021-04-12 11:47:50;;2021-04-12 11:47:50
244;Baixo conhecimento dos usuários sobre garantia de direitos e os equipamentos de assistência social.;2021-04-12 11:47:50;;2021-04-12 11:47:50
245;"Baixo conhecimento e ""preconceito"" em relação às atividades da carcinicultura.";2021-04-12 11:47:50;;2021-04-12 11:47:50
246;Baixo conhecimento e capacitação dos indivíduos para mudanças de realidades.;2021-04-12 11:47:50;;2021-04-12 11:47:50
247;Baixo conhecimento para acesso as plataformas e tecnologias por parte da sociedade em geral.;2021-04-12 11:47:50;;2021-04-12 11:47:50
248;Baixo efetividade das políticas de acesso a terra na região.;2021-04-12 11:47:50;;2021-04-12 11:47:50
249;Baixo efetivo de agentes da Segurança Pública.;2021-04-12 11:47:50;;2021-04-12 11:47:50
250;Baixo efetivo de policiamento na região.;2021-04-12 11:47:50;;2021-04-12 11:47:50
